Provinsi,Kabupaten/Kota,Luas Wilayah (km2),Jumlah Penduduk (ribu jiwa),Indeks Pembangunan Literasi Masyarakat,Persentase Rumah Tangga yang Memiliki Akses Terhadap Sanitasi Layak,Persentase Rumah Tangga yang Memiliki Akses Terhadap Sumber Air Minum Layak,Realisasi Jumlah Kepala Keluarga Penerima Manfaat Bantuan Sosial,Jumlah Anggaran Bantuan Keluarga (rupiah),Rata-rata Pengeluaran per Kapita Sebulan Makanan dan Bukan Makanan di Daerah Perkotaan dan Perdesaan (rupiah),Tingkat Penyerapan Pendapatan (%),Tingkat Penyerapan Belanja (%),Rasio Efektivitas Pendapatan Asli Daerah (PAD) (%),Rasio Efektivitas Penerimaan Pajak (%),Rasio Belanja Terhadap Pendapatan (%),Rasio Belanja Pendidikan (%),Rasio Belanja Kesehatan (%),Rasio Belanja Ekonomi (%),Rasio Belanja Perumahan (%),Umur Harapan Hidup (tahun),Rata-rata Lama Sekolah (tahun),Indeks Pembangunan Manusia (%),Indeks Pembangunan Gender (%),Tingkat Pengangguran Terbuka (%),Jumlah Guru SMA/SMK,Jumlah Siswa SMA/SMK,Produk Domestik Regional Bruto (PDRB) Atas Dasar Harga Berlaku,Jumlah Desa yang memiliki Sarana Kesehatan,Jumlah Tenaga Kesehatan,Persentase Penduduk Miskin (%)
Maluku,Seram Bagian Barat,5017.138,217.389,37.95,89.28,93.58,46221,27732600000,1031201,98.39,94.33,114.19,101.48,103.51,33.46,14.76,12.27,1.98,71.18,9.59,72.54,98.4,4.52,1257,9887,4077,78,1607,22.31
Maluku,Seram Bagian Timur,5725.44,136.15,50.28,80.5,80.48,28051,16830600000,987088,104.28,106.84,279.59,110.74,102.45,21.72,18.03,12.42,3.01,68.73,9.0,70.28,88.83,3.24,510,5225,3684,90,1774,21.03
Maluku,Maluku Barat Daya,4551.67,97.02,43.73,96.13,96.14,17722,10633200000,1131504,88.53,83.8,22.16,22.72,99.21,35.17,11.2,18.46,1.89,69.65,9.13,67.68,90.65,2.36,553,4692,3197,68,951,27.95
Maluku,Buru Selatan,3678.69,81.329,49.82,85.21,84.81,19347,11608200000,874980,89.71,91.32,22.57,69.27,104.42,17.03,0.25,5.77,0.73,70.28,8.48,68.54,87.26,1.35,420,3950,1887,59,1354,14.91
Maluku,Kota Ambon,236.66,359.661,40.65,97.6,98.22,34497,20698200000,1766764,95.38,93.67,89.2,105.02,101.52,33.9,13.08,10.4,2.51,73.14,12.24,83.37,97.95,11.44,1852,20461,19836,97,3843,5.13
Maluku,Kota Tual,234.41,90.47,38.42,95.3,95.56,14671,8802600000,1248834,99.66,104.5,110.75,111.3,107.62,19.24,17.55,15.15,1.75,71.72,10.67,72.48,88.82,8.68,372,4389,3417,28,949,20.01
Maluku Utara,Halmahera Barat,2239.114,137.81,48.75,80.66,93.86,30954,18572400000,1077831,98.39,92.77,53.66,53.47,97.21,5.12,4.02,14.31,0.56,70.72,8.59,69.2,89.3,3.53,625,5806,2947,41,900,8.75
Maluku Utara,Halmahera Tengah,2276.903,61.79,36.54,82.69,89.34,8004,4802400000,2057476,41.43,35.12,13.96,4.67,93.27,19.99,13.0,20.75,3.5,70.48,9.2,70.94,90.6,3.43,344,3483,32302,62,874,10.71
Maluku Utara,Kepulauan Sula,3304.32,109.26,31.01,83.72,85.2,10581,6348600000,980826,94.88,92.61,80.98,108.04,100.01,29.41,15.5,15.7,0.43,68.8,9.17,68.19,93.19,2.57,572,4362,3378,54,880,7.96
Maluku Utara,Halmahera Selatan,8096.397,264.93,27.86,77.43,84.34,49008,29404800000,1158037,100.16,100.32,115.83,125.96,101.51,27.85,21.64,14.84,7.0,70.54,8.42,68.43,87.79,2.0,1156,11695,21048,81,2525,5.63
Maluku Utara,Halmahera Utara,3404.629,207.74,29.67,70.19,89.5,35207,21124200000,1312769,91.02,85.3,110.89,46.97,95.64,23.42,25.1,7.66,4.17,71.95,8.67,70.52,90.25,6.2,831,11977,7181,82,1408,4.71
Maluku Utara,Halmahera Timur,6488.73,98.22,25.24,82.26,71.17,14125,8475000000,1558257,138.73,91.48,218.94,185.37,81.71,11.86,9.82,30.97,5.92,71.7,8.88,70.35,82.69,4.32,400,4134,5396,53,982,11.91
Maluku Utara,Pulau Morotai,2337.331,79.66,30.75,70.06,87.62,19196,11517600000,1103741,98.3,81.66,38.46,14.32,92.29,30.16,12.58,21.9,4.6,71.16,7.73,66.91,72.61,4.21,284,3146,2029,69,704,5.11
Maluku Utara,Pulau Taliabu,2985.748,61.37,63.45,67.09,85.77,10817,6490200000,1066053,80.27,80.01,3.92,1.98,98.07,23.07,8.66,22.26,2.72,67.25,7.99,64.88,84.93,2.86,368,2664,2111,41,755,7.13
Maluku Utara,Kota Ternate,162.202,214.41,72.16,98.53,97.91,15522,9313200000,2197534,93.1,93.38,62.66,94.52,100.04,4.77,3.96,10.4,0.94,72.87,12.08,82.59,92.24,6.42,863,11732,15213,60,1852,3.14
Maluku Utara,Kota Tidore Kepulauan,1703.322,120.44,70.97,92.16,93.42,13709,8225400000,1454860,112.37,99.25,93.6,118.07,98.17,22.66,17.39,19.21,2.04,72.52,10.12,74.01,96.59,3.49,659,4988,3852,62,1792,6.56
Papua Barat,Fakfak,9736.55,90.17,48.92,75.07,95.43,44265,26559000000,1511992,103.79,99.15,79.29,102.52,97.97,23.56,18.54,13.5,3.54,71.57,9.32,71.52,84.45,6.28,300,3906,6311,74,1226,20.86
Papua Barat,Kaimana,17849.22,66.66,59.73,80.64,85.15,18919,11351400000,1579707,103.04,100.07,151.6,109.35,108.5,27.44,13.93,15.54,9.7,69.2,8.97,69.2,84.88,4.96,256,3075,3096,76,951,14.41
Papua Barat,Teluk Wondama,4847.34,45.56,74.58,61.17,30.49,16090,9654000000,1295276,101.17,101.69,122.64,165.29,100.52,33.27,9.88,19.64,3.62,65.5,7.38,64.52,80.36,2.39,137,1851,1856,55,558,28.47
Papua Barat,Teluk Bintuni,19943.29,91.06,36.52,75.77,89.9,36340,21804000000,1832594,100.0,100.0,100.0,100.0,98.6,12.34,9.89,42.93,4.46,68.05,8.67,69.79,86.63,3.16,306,3228,52360,78,1051,26.99
Papua Barat,Manokwari,2763.02,204.96,58.22,89.13,84.4,63973,38383800000,1832856,94.89,95.0,100.32,104.26,97.58,25.47,10.41,12.56,3.42,72.51,8.67,75.15,85.37,5.34,769,9776,11327,62,1867,18.45
Papua Barat,Manokwari Selatan,1837.1,38.82,48.15,91.74,83.12,14698,8818800000,1781795,100.19,92.27,165.57,38.12,94.26,15.78,11.57,20.84,4.84,68.26,7.17,62.45,67.91,2.54,148,1471,1018,19,402,26.83
Papua Barat,Pegunungan Arfak,3298.81,41.47,36.27,49.9,72.5,24922,14953200000,1015974,102.01,109.01,264.07,16.07,109.54,16.79,7.83,16.2,4.73,67.79,5.72,58.71,79.96,0.31,119,553,359,18,184,31.76
Papua Barat Daya,Raja Ampat,7442.31,70.061,53.83,65.37,88.48,20100,12060000000,1335871,107.25,101.56,202.78,137.49,94.55,19.26,10.63,18.84,4.55,67.12,8.4,66.6,79.58,4.39,403,3104,4104,82,992,15.83
Papua Barat Daya,Sorong,7564.65,123.136,48.83,86.48,88.89,51829,31097400000,1650516,101.15,100.74,152.13,129.62,105.24,19.86,12.81,15.17,1.88,70.08,8.74,69.69,86.89,4.15,512,5596,12450,90,1400,25.71
Papua Barat Daya,Sorong Selatan,6570.23,56.292,48.28,43.19,57.76,23843,14305800000,1269717,100.0,100.0,100.0,100.0,93.04,34.2,13.28,19.49,0.78,67.23,7.76,64.54,84.04,2.81,243,2634,2339,69,720,17.83
Papua Barat Daya,Maybrat,5385.68,47.542,44.37,67.29,45.05,26436,15861600000,2220877,101.28,103.9,166.67,297.01,99.01,16.65,9.54,13.26,8.01,65.97,7.44,61.83,79.46,3.56,118,612,863,52,468,29.18
Papua Barat Daya,Tambrauw,11954.82,31.354,45.01,85.56,57.96,33183,19909800000,1172997,94.3,94.31,579.23,343.23,99.84,15.86,11.25,18.43,3.21,65.89,5.89,58.31,71.22,1.52,132,746,305,25,281,29.88
Papua Barat Daya,Kota Sorong,205.26,298.742,63.37,83.69,88.99,48882,29329200000,1696750,104.44,99.99,86.37,80.32,95.62,31.34,21.71,12.1,0.98,73.19,11.57,80.55,92.17,9.85,863,10886,17127,73,1548,13.67
Papua,Jayapura,14082.21,173.28,49.55,70.53,81.58,41165,24699000000,1825353,96.17,97.52,84.58,63.86,101.16,24.51,17.26,12.35,2.38,70.48,10.57,75.32,91.63,6.39,675,9069,20429,100,1417,11.6
Papua,Kepulauan Yapen,2429.03,118.59,16.35,57.14,76.77,56279,33767400000,1377406,94.42,100.18,67.79,19.96,103.55,25.86,13.96,14.0,2.47,70.85,9.71,70.12,89.94,5.0,424,5695,5275,112,838,25.69
Papua,Biak Numfor,2257.78,141.1,36.75,93.89,87.17,69546,41727600000,1232537,101.18,97.92,69.11,114.86,98.93,46.0,11.98,11.67,0.87,70.92,10.55,74.95,91.36,6.86,639,8507,6557,83,1444,23.46
Papua,Sarmi,14068.37,43.09,51.62,88.45,90.28,13709,8225400000,1265846,102.34,102.33,284.45,105.08,101.62,17.99,11.6,18.44,4.15,69.91,9.61,67.89,84.28,3.41,165,2285,3825,23,421,14.05
Papua,Keerom,9526.32,64.18,42.61,81.99,60.69,31647,18988200000,1425695,99.34,95.46,227.51,128.48,96.1,24.94,11.79,16.77,1.68,69.95,8.58,69.87,88.13,2.91,239,2639,3618,46,558,15.84
Papua,Waropen,10778.76,35.81,22.78,78.31,93.47,28236,16941600000,994864,91.61,93.71,54.53,108.38,102.29,32.47,7.34,16.89,1.94,69.72,9.42,68.13,72.28,3.21,134,1487,2452,35,359,29.85
Papua,Supiori,660.61,24.53,56.5,79.06,68.84,11801,7080600000,1065175,99.44,100.0,105.01,44.78,103.32,20.36,11.33,19.43,3.48,69.62,9.21,66.37,78.85,5.6,176,1612,1246,36,423,37.72
Papua,Mamberamo Raya,28042.39,39.39,29.0,43.19,62.23,15879,9527400000,1095969,100.0,100.0,100.0,100.0,92.78,9.8,6.36,24.15,5.38,68.95,6.49,59.48,83.53,1.05,90,1157,2305,45,340,30.29
Papua,Kota Jayapura,835.48,420.58,39.32,88.12,96.86,51156,30693600000,1919441,102.8,101.0,112.41,105.16,103.08,32.81,11.17,9.52,2.27,71.99,12.07,81.98,94.72,8.29,1146,14943,39815,72,3162,10.72
Papua Selatan,Merauke,45013.35,239.4,48.3,82.05,72.52,99617,59770200000,1966493,97.26,97.15,105.52,94.19,98.96,33.34,16.78,17.34,3.53,71.41,9.37,74.53,89.83,5.07,1012,12107,20350,181,720,10.19
Papua Selatan,Boven Digoel,23558.27,69.04,53.79,73.45,67.26,38668,23200800000,1119162,101.26,97.68,97.98,84.6,102.41,19.77,14.67,17.02,3.81,69.17,9.42,68.16,80.79,3.26,204,2396,5867,52,366,19.24
Papua Selatan,Mappi,24262.23,115.1,30.67,39.08,38.55,60655,36393000000,899788,100.0,100.0,100.0,100.0,107.31,23.1,10.71,18.37,1.76,66.34,7.16,61.66,85.91,4.1,258,4327,3834,64,406,25.7
Papua Selatan,Asmat,25015.31,118.53,36.76,20.32,98.53,58952,35371200000,935487,101.73,101.97,77.44,121.68,103.28,18.81,15.2,13.16,6.93,68.05,5.82,57.63,58.04,2.05,146,1973,3410,88,466,24.5
Papua Tengah,Mimika,18298.95,327.78,54.06,86.27,95.88,59086,35451600000,1735792,89.12,85.71,252.52,44.6,109.22,17.88,13.93,25.22,4.39,73.06,10.72,76.85,78.38,6.7,773,10971,146298,98,1820,14.18
Papua Tengah,Dogiyai,3792.93,125.18,48.63,17.89,70.66,169814,101888400000,1012332,105.31,111.15,426.45,150.2,107.92,21.64,11.92,15.69,2.0,66.59,4.98,57.72,82.19,3.27,76,931,1647,23,272,30.03
Papua Tengah,Deiyai,2846.41,106.5,42.92,26.48,89.6,91939,55163400000,909525,109.73,108.99,153.87,52.04,100.34,21.55,9.33,16.08,1.89,66.66,3.29,52.29,72.05,1.66,137,2471,1767,12,203,39.01
Papua Tengah,Nabire,11806.09,175.36,50.1,93.23,87.49,64096,38457600000,1636372,109.5,107.02,207.36,247.67,97.13,19.43,20.12,16.78,0.83,70.06,10.42,72.28,91.48,4.1,757,8623,14968,96,1073,24.0
Papua Tengah,Paniai,5306.87,236.53,40.98,31.71,90.45,72834,43700400000,862688,108.95,102.21,254.26,376.07,94.11,33.92,14.63,11.13,1.76,69.64,4.81,59.61,70.36,1.92,230,4060,5339,37,701,37.07
Papua Tengah,Intan Jaya,5334.45,143.85,22.03,23.54,90.15,71152,42691200000,1374213,102.78,97.74,170.56,120.26,97.71,10.93,11.0,15.72,4.13,66.74,3.28,50.92,73.67,2.4,11,138,1465,6,149,41.42
Papua Tengah,Puncak,7701.03,122.59,23.84,,30.09,141805,85083000000,1065173,105.7,103.01,59.17,39.73,99.85,8.04,13.03,10.19,1.83,66.82,2.39,45.7,86.98,0.0,47,398,1772,30,181,37.49
Papua Tengah,Puncak Jaya,5986.19,235.12,21.68,9.64,88.9,230010,138006000000,2808714,100.32,91.01,39.63,30.45,101.4,8.7,14.27,6.58,1.73,67.91,4.42,52.47,69.64,0.43,72,1254,1664,27,256,35.94
Papua Pegunungan,Nduga,5886.89,113.34,29.38,5.09,16.73,102727,61636200000,1468542,94.37,92.68,10.3,90.16,100.96,5.36,14.93,7.77,2.34,63.9,1.92,38.88,90.84,0.07,32,415,1630,35,167,36.28
Papua Pegunungan,Jayawijaya,2629.01,281.09,37.9,33.5,47.45,93335,56001000000,1797778,100.0,100.0,100.0,100.0,98.48,21.11,17.64,5.56,2.01,69.98,5.99,65.38,86.08,2.74,403,6980,11448,63,723,32.28
Papua Pegunungan,Lanny Jaya,2339.78,208.54,36.65,3.07,1.08,141888,85132800000,2739124,97.92,97.24,54.38,63.74,100.18,19.08,19.29,10.8,1.14,67.29,3.83,51.84,94.41,0.25,195,4886,2493,30,294,34.12
Papua Pegunungan,Tolikara,2990.01,246.38,32.38,2.08,18.37,131842,79105200000,1113767,100.0,100.0,100.0,100.0,83.34,11.49,25.83,10.14,3.55,67.22,3.69,52.31,63.77,0.5,101,1218,2176,49,315,31.22
Papua Pegunungan,Mamberamo Tengah,4101.5,53.63,30.06,4.23,4.23,42597,25558200000,1346314,101.35,101.34,482.45,84.64,103.7,15.02,10.7,16.14,7.69,68.99,3.7,52.5,90.21,0.54,67,644,1554,28,141,35.27
Papua Pegunungan,Yalimo,3148.29,108.34,33.26,31.4,31.4,44938,26962800000,2440832,99.48,101.68,45.42,308.47,110.72,10.18,5.95,10.35,0.86,66.12,3.55,51.85,86.44,0.43,93,1448,1709,24,155,30.02
Papua Pegunungan,Yahukimo,16365.94,372.4,32.65,7.36,1.83,161609,96965400000,1064697,98.66,100.98,36.19,67.51,102.18,16.37,14.67,12.59,2.69,66.51,4.35,51.97,76.67,2.04,154,2477,3157,145,425,33.82
Papua Pegunungan,Pegunungan Bintang,13751.92,83.33,32.64,12.38,44.58,69413,41647800000,1778534,97.87,96.69,39.79,6.9,100.73,10.65,12.79,14.67,2.37,66.1,3.51,49.69,82.99,2.46,117,1586,2528,49,452,28.95
