Provinsi,Kabupaten/Kota,Luas Wilayah (km2),Jumlah Penduduk (ribu jiwa),Indeks Pembangunan Literasi Masyarakat,Persentase Rumah Tangga yang Memiliki Akses Terhadap Sanitasi Layak,Persentase Rumah Tangga yang Memiliki Akses Terhadap Sumber Air Minum Layak,Realisasi Jumlah Kepala Keluarga Penerima Manfaat Bantuan Sosial,Jumlah Anggaran Bantuan Keluarga (rupiah),Rata-rata Pengeluaran per Kapita Sebulan Makanan dan Bukan Makanan di Daerah Perkotaan dan Perdesaan (rupiah),Tingkat Penyerapan Pendapatan (%),Tingkat Penyerapan Belanja (%),Rasio Efektivitas Pendapatan Asli Daerah (PAD) (%),Rasio Efektivitas Penerimaan Pajak (%),Rasio Belanja Terhadap Pendapatan (%),Rasio Belanja Pendidikan (%),Rasio Belanja Kesehatan (%),Rasio Belanja Ekonomi (%),Rasio Belanja Perumahan (%),Umur Harapan Hidup (tahun),Rata-rata Lama Sekolah (tahun),Indeks Pembangunan Manusia (%),Indeks Pembangunan Gender (%),Tingkat Pengangguran Terbuka (%),Jumlah Guru SMA/SMK,Jumlah Siswa SMA/SMK,Produk Domestik Regional Bruto (PDRB) Atas Dasar Harga Berlaku,Jumlah Desa yang memiliki Sarana Kesehatan,Jumlah Tenaga Kesehatan,Persentase Penduduk Miskin (%)
Sulawesi Tengah,Sigi,5225.435,269.96,62.74,72.2,78.34,68664,41198400000,1050907,103.62,101.89,143.36,123.85,102.19,19.85,14.26,18.52,2.01,71.33,9.04,70.9,94.37,2.55,675,7400,12562,98,1427,12.06
Sulawesi Tengah,Banggai Laut,688.151,74.02,46.69,68.78,85.95,13364,8018400000,912193,106.87,104.02,80.3,40.83,96.93,22.7,19.45,11.39,2.89,71.04,8.65,69.65,92.73,3.6,305,3161,3223,40,743,13.78
Sulawesi Tengah,Morowali Utara,8736.006,127.87,61.98,89.92,84.58,25552,15331200000,1571078,112.87,104.81,86.07,62.72,95.89,17.47,21.59,16.45,3.38,72.35,9.13,71.64,97.06,2.38,431,5036,30234,86,1395,11.95
Sulawesi Tengah,Kota Palu,356.351,392.51,91.1,89.49,99.25,73983,44389800000,1668601,103.08,96.01,85.92,84.9,100.57,26.63,21.43,15.83,5.31,73.91,11.75,84.12,98.57,5.63,1618,22433,32919,107,4035,5.94
Sulawesi Selatan,Kepulauan Selayar,1160.359,142.7,95.79,89.39,95.23,40703,24421800000,1111674,97.32,93.21,85.18,74.11,102.71,30.83,20.7,10.51,1.66,73.48,8.49,71.98,92.39,2.05,552,5296,8341,93,1792,10.79
Sulawesi Selatan,Bulukumba,1175.528,454.72,88.32,88.66,86.77,107491,64494600000,1076126,100.12,101.99,86.33,57.85,101.87,33.98,21.89,16.6,1.74,74.18,8.52,74.43,96.0,2.23,1151,14313,20224,144,2990,6.71
Sulawesi Selatan,Bantaeng,390.969,205.42,87.63,77.94,97.02,64987,38992200000,1359057,99.17,98.38,104.84,73.83,99.66,30.45,29.71,9.34,1.94,72.85,7.26,72.2,95.33,2.57,588,6154,13451,60,1853,8.26
Sulawesi Selatan,Jeneponto,796.001,418.97,77.56,87.2,97.43,159047,95428200000,788825,101.84,101.51,119.18,106.22,99.81,30.53,29.33,7.63,1.3,74.0,7.01,69.45,92.39,2.47,1006,12238,13057,119,2543,11.82
Sulawesi Selatan,Takalar,555.431,317.02,65.35,96.25,98.34,142581,85548600000,1057414,92.51,91.12,55.1,33.1,99.58,31.55,24.46,10.06,0.97,73.69,7.73,72.06,88.24,3.84,1033,13429,13428,117,2749,7.75
Sulawesi Selatan,Gowa,1812.997,814.04,62.65,98.42,94.88,209519,125711400000,1279631,101.97,102.47,126.14,112.44,100.48,33.2,20.6,13.97,0.82,74.19,8.53,73.71,88.91,3.91,1771,26238,30749,251,3332,6.85
Sulawesi Selatan,Sinjai,865.244,270.43,92.29,86.14,90.69,76771,46062600000,1031761,97.85,98.76,115.49,88.21,100.93,34.25,23.52,11.96,1.12,73.04,7.82,71.81,98.3,1.52,761,8969,15975,101,2275,7.82
Sulawesi Selatan,Maros,1442.946,413.59,91.04,94.68,91.34,95062,57037200000,1154753,98.88,100.76,96.15,103.74,104.12,29.45,22.9,13.19,2.06,73.77,8.05,74.04,89.61,4.34,1042,13889,28624,87,4061,9.32
Sulawesi Selatan,Pangkajene dan Kepulauan,888.913,359.16,93.93,94.51,95.07,119778,71866800000,1393046,101.84,98.45,123.68,135.55,96.48,32.5,21.57,9.47,2.02,73.11,8.47,73.87,91.35,3.99,1147,13188,34607,122,2536,12.41
Sulawesi Selatan,Barru,1201.903,189.21,84.17,96.21,98.26,43693,26215800000,1032696,98.61,100.09,99.22,103.57,105.84,31.68,22.79,12.73,1.82,72.75,8.8,74.51,95.74,6.42,515,6297,9891,61,2396,8.31
Sulawesi Selatan,Bone,4567.363,830.12,77.5,97.54,91.8,226788,136072800000,911536,99.66,99.49,97.42,103.54,98.65,23.34,19.34,11.09,2.06,73.46,7.55,70.81,93.63,2.28,1743,23265,50015,199,2381,9.58
Sulawesi Selatan,Soppeng,1385.546,239.36,85.05,95.44,95.09,67213,40327800000,1143619,103.14,106.43,115.04,116.44,100.15,33.37,23.36,11.61,1.35,73.77,8.45,72.76,97.34,3.33,671,7491,16099,86,2250,6.9
Sulawesi Selatan,Wajo,2608.708,389.05,64.41,95.93,91.39,111914,67148400000,1262534,101.23,104.77,103.54,107.61,101.87,25.51,23.8,10.71,1.15,73.47,7.46,73.98,90.65,2.31,820,10407,25954,124,2206,6.47
